position,family,all_time_count,recency_weighted_score,blended_probability
1,基础实现,38,12.14773023,0.78660108
1,数学/数论/位运算,5,2.02328089,0.13059200
1,动态规划,0,0.00000000,0.01182956
1,图论/搜索,0,0.00000000,0.01182956
1,大模拟/系统,0,0.00000000,0.01182956
1,字符串/解析,0,0.00000000,0.01182956
1,数据结构,0,0.00000000,0.01182956
1,综合/低置信,0,0.00000000,0.01182956
1,计算几何,0,0.00000000,0.01182956
2,基础实现,22,5.95303140,0.41763673
2,数学/数论/位运算,6,3.53036785,0.19798248
2,动态规划,3,1.99369316,0.11395120
2,大模拟/系统,7,0.72585482,0.09470503
2,图论/搜索,3,1.30172591,0.08656076
2,字符串/解析,2,0.66633798,0.05367512
2,数据结构,0,0.00000000,0.01182956
2,综合/低置信,0,0.00000000,0.01182956
2,计算几何,0,0.00000000,0.01182956
3,大模拟/系统,17,7.17401187,0.42729329
3,字符串/解析,22,5.83855311,0.41310528
3,数学/数论/位运算,1,0.53588673,0.04077660
3,图论/搜索,1,0.50000000,0.03935608
3,基础实现,1,0.07179365,0.02240621
3,数据结构,1,0.05076577,0.02157385
3,动态规划,0,0.00000000,0.01182956
3,综合/低置信,0,0.00000000,0.01182956
3,计算几何,0,0.00000000,0.01182956
4,数据结构,13,6.86514151,0.38412792
4,图论/搜索,15,2.86265623,0.24116542
4,动态规划,8,1.70982376,0.14138871
4,数学/数论/位运算,2,1.07361366,0.06979649
4,字符串/解析,1,0.75785828,0.04956300
4,计算几何,2,0.54751462,0.04897168
4,大模拟/系统,2,0.35440306,0.04132766
4,基础实现,0,0.00000000,0.01182956
4,综合/低置信,0,0.00000000,0.01182956
5,数据结构,13,4.94817686,0.30824788
5,图论/搜索,12,3.28601687,0.23471907
5,动态规划,10,2.69969814,0.19604095
5,综合/低置信,3,1.71647855,0.10297809
5,字符串/解析,3,1.29458417,0.08627807
5,数学/数论/位运算,2,0.22605654,0.03624727
5,基础实现,0,0.00000000,0.01182956
5,大模拟/系统,0,0.00000000,0.01182956
5,计算几何,0,0.00000000,0.01182956
